country_code,period,period_label,indicator,value,unit,source,fetched_at
CO,2010-03-01,Marzo 2010,ipc_indice,72.46,,dane,2026-08-14T03:33:19.965994+00:00
CO,2011-03-01,Marzo 2011,ipc_indice,74.77,,dane,2026-08-14T03:33:19.965994+00:00
CO,2012-03-01,Marzo 2012,ipc_indice,77.31,,dane,2026-08-14T03:33:19.965994+00:00
CO,2013-03-01,Marzo 2013,ipc_indice,78.79,,dane,2026-08-14T03:33:19.965994+00:00
CO,2014-03-01,Marzo 2014,ipc_indice,80.77,,dane,2026-08-14T03:33:19.965994+00:00
CO,2015-03-01,Marzo 2015,ipc_indice,84.45,,dane,2026-08-14T03:33:19.965994+00:00
CO,2016-03-01,Marzo 2016,ipc_indice,91.18,,dane,2026-08-14T03:33:19.965994+00:00
CO,2017-03-01,Marzo 2017,ipc_indice,95.46,,dane,2026-08-14T03:33:19.965994+00:00
CO,2018-03-01,Marzo 2018,ipc_indice,98.45,,dane,2026-08-14T03:33:19.965994+00:00
CO,2019-03-01,Marzo 2019,ipc_indice,101.62,,dane,2026-08-14T03:33:19.965994+00:00
CO,2020-03-01,Marzo 2020,ipc_indice,105.53,,dane,2026-08-14T03:33:19.965994+00:00
CO,2021-03-01,Marzo 2021,ipc_indice,107.12,,dane,2026-08-14T03:33:19.965994+00:00
CO,2022-03-01,Marzo 2022,ipc_indice,116.26,,dane,2026-08-14T03:33:19.965994+00:00
CO,2023-03-01,Marzo 2023,ipc_indice,131.77,,dane,2026-08-14T03:33:19.965994+00:00
CO,2024-03-01,Marzo 2024,ipc_indice,141.48,,dane,2026-08-14T03:33:19.965994+00:00
CO,2025-03-01,Marzo 2025,ipc_indice,148.68,,dane,2026-08-14T03:33:19.965994+00:00
CO,2026-03-01,Marzo 2026,ipc_indice,156.94,,dane,2026-08-14T03:33:19.965994+00:00
CO,2003-04-01,Abril 2003,ipc_indice,52.1,,dane,2026-08-14T03:33:19.965994+00:00
CO,2004-04-01,Abril 2004,ipc_indice,54.96,,dane,2026-08-14T03:33:19.965994+00:00
CO,2005-04-01,Abril 2005,ipc_indice,57.72,,dane,2026-08-14T03:33:19.965994+00:00
CO,2006-04-01,Abril 2006,ipc_indice,60.09,,dane,2026-08-14T03:33:19.965994+00:00
CO,2007-04-01,Abril 2007,ipc_indice,63.85,,dane,2026-08-14T03:33:19.965994+00:00
CO,2008-04-01,Abril 2008,ipc_indice,67.51,,dane,2026-08-14T03:33:19.965994+00:00
CO,2009-04-01,Abril 2009,ipc_indice,71.38,,dane,2026-08-14T03:33:19.965994+00:00
CO,2010-04-01,Abril 2010,ipc_indice,72.79,,dane,2026-08-14T03:33:19.965994+00:00
CO,2011-04-01,Abril 2011,ipc_indice,74.86,,dane,2026-08-14T03:33:19.965994+00:00
CO,2012-04-01,Abril 2012,ipc_indice,77.42,,dane,2026-08-14T03:33:19.965994+00:00
CO,2013-04-01,Abril 2013,ipc_indice,78.99,,dane,2026-08-14T03:33:19.965994+00:00
CO,2014-04-01,Abril 2014,ipc_indice,81.14,,dane,2026-08-14T03:33:19.965994+00:00
CO,2015-04-01,Abril 2015,ipc_indice,84.9,,dane,2026-08-14T03:33:19.965994+00:00
CO,2016-04-01,Abril 2016,ipc_indice,91.63,,dane,2026-08-14T03:33:19.965994+00:00
CO,2017-04-01,Abril 2017,ipc_indice,95.91,,dane,2026-08-14T03:33:19.965994+00:00
CO,2018-04-01,Abril 2018,ipc_indice,98.91,,dane,2026-08-14T03:33:19.965994+00:00
CO,2019-04-01,Abril 2019,ipc_indice,102.12,,dane,2026-08-14T03:33:19.965994+00:00
CO,2020-04-01,Abril 2020,ipc_indice,105.7,,dane,2026-08-14T03:33:19.965994+00:00
CO,2021-04-01,Abril 2021,ipc_indice,107.76,,dane,2026-08-14T03:33:19.965994+00:00
CO,2022-04-01,Abril 2022,ipc_indice,117.71,,dane,2026-08-14T03:33:19.965994+00:00
CO,2023-04-01,Abril 2023,ipc_indice,132.8,,dane,2026-08-14T03:33:19.965994+00:00
CO,2024-04-01,Abril 2024,ipc_indice,142.32,,dane,2026-08-14T03:33:19.965994+00:00
CO,2025-04-01,Abril 2025,ipc_indice,149.66,,dane,2026-08-14T03:33:19.965994+00:00
CO,2026-04-01,Abril 2026,ipc_indice,158.17,,dane,2026-08-14T03:33:19.965994+00:00
CO,2003-05-01,Mayo 2003,ipc_indice,52.36,,dane,2026-08-14T03:33:19.965994+00:00
CO,2004-05-01,Mayo 2004,ipc_indice,55.17,,dane,2026-08-14T03:33:19.965994+00:00
CO,2005-05-01,Mayo 2005,ipc_indice,57.95,,dane,2026-08-14T03:33:19.965994+00:00
CO,2006-05-01,Mayo 2006,ipc_indice,60.29,,dane,2026-08-14T03:33:19.965994+00:00
CO,2007-05-01,Mayo 2007,ipc_indice,64.05,,dane,2026-08-14T03:33:19.965994+00:00
CO,2008-05-01,Mayo 2008,ipc_indice,68.14,,dane,2026-08-14T03:33:19.965994+00:00
CO,2009-05-01,Mayo 2009,ipc_indice,71.39,,dane,2026-08-14T03:33:19.965994+00:00
CO,2010-05-01,Mayo 2010,ipc_indice,72.87,,dane,2026-08-14T03:33:19.965994+00:00
CO,2011-05-01,Mayo 2011,ipc_indice,75.07,,dane,2026-08-14T03:33:19.965994+00:00
CO,2012-05-01,Mayo 2012,ipc_indice,77.66,,dane,2026-08-14T03:33:19.965994+00:00
CO,2013-05-01,Mayo 2013,ipc_indice,79.21,,dane,2026-08-14T03:33:19.965994+00:00
CO,2014-05-01,Mayo 2014,ipc_indice,81.53,,dane,2026-08-14T03:33:19.965994+00:00
CO,2015-05-01,Mayo 2015,ipc_indice,85.12,,dane,2026-08-14T03:33:19.965994+00:00
CO,2016-05-01,Mayo 2016,ipc_indice,92.1,,dane,2026-08-14T03:33:19.965994+00:00
CO,2017-05-01,Mayo 2017,ipc_indice,96.12,,dane,2026-08-14T03:33:19.965994+00:00
CO,2018-05-01,Mayo 2018,ipc_indice,99.16,,dane,2026-08-14T03:33:19.965994+00:00
CO,2019-05-01,Mayo 2019,ipc_indice,102.44,,dane,2026-08-14T03:33:19.965994+00:00
CO,2020-05-01,Mayo 2020,ipc_indice,105.36,,dane,2026-08-14T03:33:19.965994+00:00
CO,2021-05-01,Mayo 2021,ipc_indice,108.84,,dane,2026-08-14T03:33:19.965994+00:00
CO,2022-05-01,Mayo 2022,ipc_indice,118.7,,dane,2026-08-14T03:33:19.965994+00:00
CO,2023-05-01,Mayo 2023,ipc_indice,133.38,,dane,2026-08-14T03:33:19.965994+00:00
CO,2024-05-01,Mayo 2024,ipc_indice,142.92,,dane,2026-08-14T03:33:19.965994+00:00
CO,2025-05-01,Mayo 2025,ipc_indice,150.14,,dane,2026-08-14T03:33:19.965994+00:00
CO,2026-05-01,Mayo 2026,ipc_indice,158.91,,dane,2026-08-14T03:33:19.965994+00:00
CO,2003-06-01,Junio 2003,ipc_indice,52.33,,dane,2026-08-14T03:33:19.965994+00:00
CO,2004-06-01,Junio 2004,ipc_indice,55.51,,dane,2026-08-14T03:33:19.965994+00:00
CO,2005-06-01,Junio 2005,ipc_indice,58.18,,dane,2026-08-14T03:33:19.965994+00:00
CO,2006-06-01,Junio 2006,ipc_indice,60.48,,dane,2026-08-14T03:33:19.965994+00:00
CO,2007-06-01,Junio 2007,ipc_indice,64.12,,dane,2026-08-14T03:33:19.965994+00:00
CO,2008-06-01,Junio 2008,ipc_indice,68.73,,dane,2026-08-14T03:33:19.965994+00:00
CO,2009-06-01,Junio 2009,ipc_indice,71.35,,dane,2026-08-14T03:33:19.965994+00:00
CO,2010-06-01,Junio 2010,ipc_indice,72.95,,dane,2026-08-14T03:33:19.965994+00:00
CO,2011-06-01,Junio 2011,ipc_indice,75.31,,dane,2026-08-14T03:33:19.965994+00:00
CO,2012-06-01,Junio 2012,ipc_indice,77.72,,dane,2026-08-14T03:33:19.965994+00:00
CO,2013-06-01,Junio 2013,ipc_indice,79.39,,dane,2026-08-14T03:33:19.965994+00:00
CO,2014-06-01,Junio 2014,ipc_indice,81.61,,dane,2026-08-14T03:33:19.965994+00:00
CO,2015-06-01,Junio 2015,ipc_indice,85.21,,dane,2026-08-14T03:33:19.965994+00:00
CO,2016-06-01,Junio 2016,ipc_indice,92.54,,dane,2026-08-14T03:33:19.965994+00:00
CO,2017-06-01,Junio 2017,ipc_indice,96.23,,dane,2026-08-14T03:33:19.965994+00:00
CO,2018-06-01,Junio 2018,ipc_indice,99.31,,dane,2026-08-14T03:33:19.965994+00:00
CO,2019-06-01,Junio 2019,ipc_indice,102.71,,dane,2026-08-14T03:33:19.965994+00:00
CO,2020-06-01,Junio 2020,ipc_indice,104.97,,dane,2026-08-14T03:33:19.965994+00:00
CO,2021-06-01,Junio 2021,ipc_indice,108.78,,dane,2026-08-14T03:33:19.965994+00:00
CO,2022-06-01,Junio 2022,ipc_indice,119.31,,dane,2026-08-14T03:33:19.965994+00:00
CO,2023-06-01,Junio 2023,ipc_indice,133.78,,dane,2026-08-14T03:33:19.965994+00:00
CO,2024-06-01,Junio 2024,ipc_indice,143.38,,dane,2026-08-14T03:33:19.965994+00:00
CO,2025-06-01,Junio 2025,ipc_indice,150.3,,dane,2026-08-14T03:33:19.965994+00:00
CO,2026-06-01,Junio 2026,ipc_indice,159.53,,dane,2026-08-14T03:33:19.965994+00:00
CO,2003-07-01,Julio 2003,ipc_indice,52.26,,dane,2026-08-14T03:33:19.965994+00:00
CO,2004-07-01,Julio 2004,ipc_indice,55.49,,dane,2026-08-14T03:33:19.965994+00:00
CO,2005-07-01,Julio 2005,ipc_indice,58.21,,dane,2026-08-14T03:33:19.965994+00:00
CO,2006-07-01,Julio 2006,ipc_indice,60.73,,dane,2026-08-14T03:33:19.965994+00:00
CO,2007-07-01,Julio 2007,ipc_indice,64.23,,dane,2026-08-14T03:33:19.965994+00:00
CO,2008-07-01,Julio 2008,ipc_indice,69.06,,dane,2026-08-14T03:33:19.965994+00:00
CO,2009-07-01,Julio 2009,ipc_indice,71.32,,dane,2026-08-14T03:33:19.965994+00:00
CO,2010-07-01,Julio 2010,ipc_indice,72.92,,dane,2026-08-14T03:33:19.965994+00:00
CO,2011-07-01,Julio 2011,ipc_indice,75.42,,dane,2026-08-14T03:33:19.965994+00:00
CO,2012-07-01,Julio 2012,ipc_indice,77.7,,dane,2026-08-14T03:33:19.965994+00:00
CO,2013-07-01,Julio 2013,ipc_indice,79.43,,dane,2026-08-14T03:33:19.965994+00:00
CO,2014-07-01,Julio 2014,ipc_indice,81.73,,dane,2026-08-14T03:33:19.965994+00:00
CO,2015-07-01,Julio 2015,ipc_indice,85.37,,dane,2026-08-14T03:33:19.965994+00:00
CO,2016-07-01,Julio 2016,ipc_indice,93.02,,dane,2026-08-14T03:33:19.965994+00:00
CO,2017-07-01,Julio 2017,ipc_indice,96.18,,dane,2026-08-14T03:33:19.965994+00:00
CO,2018-07-01,Julio 2018,ipc_indice,99.18,,dane,2026-08-14T03:33:19.965994+00:00
CO,2019-07-01,Julio 2019,ipc_indice,102.94,,dane,2026-08-14T03:33:19.965994+00:00
CO,2020-07-01,Julio 2020,ipc_indice,104.97,,dane,2026-08-14T03:33:19.965994+00:00
CO,2021-07-01,Julio 2021,ipc_indice,109.14,,dane,2026-08-14T03:33:19.965994+00:00
CO,2022-07-01,Julio 2022,ipc_indice,120.27,,dane,2026-08-14T03:33:19.965994+00:00
CO,2023-07-01,Julio 2023,ipc_indice,134.45,,dane,2026-08-14T03:33:19.965994+00:00
CO,2024-07-01,Julio 2024,ipc_indice,143.67,,dane,2026-08-14T03:33:19.965994+00:00
CO,2025-07-01,Julio 2025,ipc_indice,150.71,,dane,2026-08-14T03:33:19.965994+00:00
CO,2003-08-01,Agosto 2003,ipc_indice,52.42,,dane,2026-08-14T03:33:19.965994+00:00
CO,2004-08-01,Agosto 2004,ipc_indice,55.51,,dane,2026-08-14T03:33:19.965994+00:00
CO,2005-08-01,Agosto 2005,ipc_indice,58.21,,dane,2026-08-14T03:33:19.965994+00:00
CO,2006-08-01,Agosto 2006,ipc_indice,60.96,,dane,2026-08-14T03:33:19.965994+00:00
CO,2007-08-01,Agosto 2007,ipc_indice,64.14,,dane,2026-08-14T03:33:19.965994+00:00
CO,2008-08-01,Agosto 2008,ipc_indice,69.19,,dane,2026-08-14T03:33:19.965994+00:00
CO,2009-08-01,Agosto 2009,ipc_indice,71.35,,dane,2026-08-14T03:33:19.965994+00:00
CO,2010-08-01,Agosto 2010,ipc_indice,73.0,,dane,2026-08-14T03:33:19.965994+00:00
CO,2011-08-01,Agosto 2011,ipc_indice,75.39,,dane,2026-08-14T03:33:19.965994+00:00
CO,2012-08-01,Agosto 2012,ipc_indice,77.73,,dane,2026-08-14T03:33:19.965994+00:00
CO,2013-08-01,Agosto 2013,ipc_indice,79.5,,dane,2026-08-14T03:33:19.965994+00:00
CO,2014-08-01,Agosto 2014,ipc_indice,81.9,,dane,2026-08-14T03:33:19.965994+00:00
CO,2015-08-01,Agosto 2015,ipc_indice,85.78,,dane,2026-08-14T03:33:19.965994+00:00
CO,2016-08-01,Agosto 2016,ipc_indice,92.73,,dane,2026-08-14T03:33:19.965994+00:00
CO,2017-08-01,Agosto 2017,ipc_indice,96.32,,dane,2026-08-14T03:33:19.965994+00:00
CO,2018-08-01,Agosto 2018,ipc_indice,99.3,,dane,2026-08-14T03:33:19.965994+00:00
CO,2019-08-01,Agosto 2019,ipc_indice,103.03,,dane,2026-08-14T03:33:19.965994+00:00
CO,2020-08-01,Agosto 2020,ipc_indice,104.96,,dane,2026-08-14T03:33:19.965994+00:00
CO,2021-08-01,Agosto 2021,ipc_indice,109.62,,dane,2026-08-14T03:33:19.965994+00:00
CO,2022-08-01,Agosto 2022,ipc_indice,121.5,,dane,2026-08-14T03:33:19.965994+00:00
CO,2023-08-01,Agosto 2023,ipc_indice,135.39,,dane,2026-08-14T03:33:19.965994+00:00
CO,2024-08-01,Agosto 2024,ipc_indice,143.67,,dane,2026-08-14T03:33:19.965994+00:00
CO,2025-08-01,Agosto 2025,ipc_indice,150.99,,dane,2026-08-14T03:33:19.965994+00:00
CO,2003-09-01,Septiembre 2003,ipc_indice,52.53,,dane,2026-08-14T03:33:19.965994+00:00
CO,2004-09-01,Septiembre 2004,ipc_indice,55.67,,dane,2026-08-14T03:33:19.965994+00:00
CO,2005-09-01,Septiembre 2005,ipc_indice,58.46,,dane,2026-08-14T03:33:19.965994+00:00
CO,2006-09-01,Septiembre 2006,ipc_indice,61.14,,dane,2026-08-14T03:33:19.965994+00:00
CO,2007-09-01,Septiembre 2007,ipc_indice,64.2,,dane,2026-08-14T03:33:19.965994+00:00
CO,2008-09-01,Septiembre 2008,ipc_indice,69.06,,dane,2026-08-14T03:33:19.965994+00:00
CO,2009-09-01,Septiembre 2009,ipc_indice,71.28,,dane,2026-08-14T03:33:19.965994+00:00
CO,2010-09-01,Septiembre 2010,ipc_indice,72.9,,dane,2026-08-14T03:33:19.965994+00:00
CO,2011-09-01,Septiembre 2011,ipc_indice,75.62,,dane,2026-08-14T03:33:19.965994+00:00
CO,2012-09-01,Septiembre 2012,ipc_indice,77.96,,dane,2026-08-14T03:33:19.965994+00:00
CO,2013-09-01,Septiembre 2013,ipc_indice,79.73,,dane,2026-08-14T03:33:19.965994+00:00
CO,2014-09-01,Septiembre 2014,ipc_indice,82.01,,dane,2026-08-14T03:33:19.965994+00:00
CO,2015-09-01,Septiembre 2015,ipc_indice,86.39,,dane,2026-08-14T03:33:19.965994+00:00
CO,2016-09-01,Septiembre 2016,ipc_indice,92.68,,dane,2026-08-14T03:33:19.965994+00:00
CO,2017-09-01,Septiembre 2017,ipc_indice,96.36,,dane,2026-08-14T03:33:19.965994+00:00
CO,2018-09-01,Septiembre 2018,ipc_indice,99.47,,dane,2026-08-14T03:33:19.965994+00:00
CO,2019-09-01,Septiembre 2019,ipc_indice,103.26,,dane,2026-08-14T03:33:19.965994+00:00
CO,2020-09-01,Septiembre 2020,ipc_indice,105.29,,dane,2026-08-14T03:33:19.965994+00:00
CO,2021-09-01,Septiembre 2021,ipc_indice,110.04,,dane,2026-08-14T03:33:19.965994+00:00
CO,2022-09-01,Septiembre 2022,ipc_indice,122.63,,dane,2026-08-14T03:33:19.965994+00:00
CO,2023-09-01,Septiembre 2023,ipc_indice,136.11,,dane,2026-08-14T03:33:19.965994+00:00
CO,2024-09-01,Septiembre 2024,ipc_indice,144.02,,dane,2026-08-14T03:33:19.965994+00:00
CO,2025-09-01,Septiembre 2025,ipc_indice,151.48,,dane,2026-08-14T03:33:19.965994+00:00
CO,2003-10-01,Octubre 2003,ipc_indice,52.56,,dane,2026-08-14T03:33:19.965994+00:00
CO,2004-10-01,Octubre 2004,ipc_indice,55.66,,dane,2026-08-14T03:33:19.965994+00:00
CO,2005-10-01,Octubre 2005,ipc_indice,58.6,,dane,2026-08-14T03:33:19.965994+00:00
CO,2006-10-01,Octubre 2006,ipc_indice,61.05,,dane,2026-08-14T03:33:19.965994+00:00
CO,2007-10-01,Octubre 2007,ipc_indice,64.2,,dane,2026-08-14T03:33:19.965994+00:00
CO,2008-10-01,Octubre 2008,ipc_indice,69.3,,dane,2026-08-14T03:33:19.965994+00:00
CO,2009-10-01,Octubre 2009,ipc_indice,71.19,,dane,2026-08-14T03:33:19.965994+00:00
CO,2010-10-01,Octubre 2010,ipc_indice,72.84,,dane,2026-08-14T03:33:19.965994+00:00
CO,2011-10-01,Octubre 2011,ipc_indice,75.77,,dane,2026-08-14T03:33:19.965994+00:00
CO,2012-10-01,Octubre 2012,ipc_indice,78.08,,dane,2026-08-14T03:33:19.965994+00:00
CO,2013-10-01,Octubre 2013,ipc_indice,79.52,,dane,2026-08-14T03:33:19.965994+00:00
CO,2014-10-01,Octubre 2014,ipc_indice,82.14,,dane,2026-08-14T03:33:19.965994+00:00
CO,2015-10-01,Octubre 2015,ipc_indice,86.98,,dane,2026-08-14T03:33:19.965994+00:00
CO,2016-10-01,Octubre 2016,ipc_indice,92.62,,dane,2026-08-14T03:33:19.965994+00:00
CO,2017-10-01,Octubre 2017,ipc_indice,96.37,,dane,2026-08-14T03:33:19.965994+00:00
CO,2018-10-01,Octubre 2018,ipc_indice,99.59,,dane,2026-08-14T03:33:19.965994+00:00
CO,2019-10-01,Octubre 2019,ipc_indice,103.43,,dane,2026-08-14T03:33:19.965994+00:00
CO,2020-10-01,Octubre 2020,ipc_indice,105.23,,dane,2026-08-14T03:33:19.965994+00:00
CO,2021-10-01,Octubre 2021,ipc_indice,110.06,,dane,2026-08-14T03:33:19.965994+00:00
